
[00:00:00.000 --> 00:00:00.440]   Música
[00:00:00.440 --> 00:00:10.640]   Irmãos, mais uma vez, boa noite.
[00:00:10.640 --> 00:00:13.720]   Hoje daremos continuidade com a graça de Deus
[00:00:13.720 --> 00:00:16.680]   na exposição do livro de Eclesiastes.
[00:00:16.680 --> 00:00:20.040]   Portanto, peço por gentileza que abram suas Bíblias
[00:00:20.040 --> 00:00:22.620]   neste maravilhoso livro, no capítulo 3.
[00:00:25.820 --> 00:00:29.740]   Hoje, nossa meditação será no verso 2, parte B,
[00:00:29.740 --> 00:00:31.880]   e no verso 3, parte A.
[00:00:31.880 --> 00:00:45.700]   Eclesiastes 3,
[00:00:45.700 --> 00:00:51.280]   verso 2, parte B,
[00:00:51.280 --> 00:00:55.540]   verso 3, parte A.
[00:00:55.540 --> 00:00:57.460]   Que diz assim,
[00:00:57.460 --> 00:01:01.040]   Tempo de plantar
[00:01:01.040 --> 00:01:04.120]   e tempo de arrancar o que se plantou.
[00:01:04.120 --> 00:01:06.500]   Tempo de matar
[00:01:06.500 --> 00:01:08.860]   e tempo de curar.
[00:01:08.860 --> 00:01:10.260]   Vamos orar?
[00:01:12.740 --> 00:01:14.540]   Senhor Deus e Pai bendito,
[00:01:14.540 --> 00:01:16.540]   precioso,
[00:01:16.540 --> 00:01:19.260]   sol que está acima do sol,
[00:01:19.260 --> 00:01:23.560]   a Ti, ó Deus, toda honra e glória,
[00:01:23.560 --> 00:01:27.440]   a Ti, ó Deus, todo poder e força.
[00:01:29.580 --> 00:01:30.700]   e mais uma vez suplicamos,
[00:01:30.700 --> 00:01:32.020]   precisamos de Ti,
[00:01:32.020 --> 00:01:34.660]   mais do que tudo.
[00:01:34.660 --> 00:01:37.620]   Estamos diante da Tua Palavra
[00:01:37.620 --> 00:01:42.240]   e queremos, ó Deus, conhecer o Senhor cada vez mais,
[00:01:42.240 --> 00:01:45.720]   para assim sermos santificados,
[00:01:45.720 --> 00:01:47.340]   crescermos,
[00:01:47.340 --> 00:01:51.320]   até alcançarmos a estatura do Teu amado Filho.
[00:01:52.060 --> 00:01:53.400]   mas queremos também conhecê-Lo
[00:01:53.400 --> 00:01:55.180]   para torná-Lo conhecido.
[00:01:55.180 --> 00:01:58.320]   Por isso pedimos, ó Deus,
[00:01:58.320 --> 00:02:00.160]   abra os nossos corações,
[00:02:00.160 --> 00:02:02.720]   nos dê entendimento da Tua Palavra.
[00:02:02.720 --> 00:02:06.260]   E quanto a minha pessoa, ó Deus,
[00:02:06.260 --> 00:02:07.440]   peço misericórdia,
[00:02:07.440 --> 00:02:08.880]   me ajude,
[00:02:08.880 --> 00:02:09.980]   sou fraco,
[00:02:09.980 --> 00:02:10.720]   sou pequeno,
[00:02:10.720 --> 00:02:11.580]   sou limitado,
[00:02:11.580 --> 00:02:14.380]   sou vaso de barro,
[00:02:14.380 --> 00:02:16.500]   capacita-me, ó Deus,
[00:02:16.500 --> 00:02:17.520]   me ajuda,
[00:02:17.520 --> 00:02:19.840]   me ilumina,
[00:02:20.440 --> 00:02:21.800]   é que eu te peço,
[00:02:21.800 --> 00:02:23.440]   nos abençoe
[00:02:23.440 --> 00:02:25.980]   e fazemos essa oração
[00:02:25.980 --> 00:02:27.900]   no nome do nosso Redentor,
[00:02:27.900 --> 00:02:28.880]   Jesus.
[00:02:28.880 --> 00:02:31.560]   Amém e amém.
[00:02:31.560 --> 00:02:33.380]   Meus irmãos,
[00:02:33.380 --> 00:02:36.740]   nós temos visto ao longo desta exposição
[00:02:36.740 --> 00:02:38.420]   em Eclesiastes,
[00:02:38.420 --> 00:02:40.640]   pelo menos dois momentos
[00:02:40.640 --> 00:02:43.660]   que são um verdadeiro contraste
[00:02:43.660 --> 00:02:44.360]   entre eles.
[00:02:44.360 --> 00:02:46.340]   Num primeiro momento,
[00:02:46.340 --> 00:02:48.700]   que começa lá no primeiro versículo
[00:02:48.700 --> 00:02:49.640]   do primeiro capítulo
[00:02:49.640 --> 00:02:51.480]   e se estende até o versículo 23
[00:02:51.480 --> 00:02:53.260]   do segundo capítulo,
[00:02:53.260 --> 00:02:56.120]   temos um quadro sombrio
[00:02:56.120 --> 00:02:57.740]   e obscuro
[00:02:57.740 --> 00:02:59.520]   da existência humana.
[00:02:59.520 --> 00:03:01.240]   Parece um eclipse
[00:03:01.240 --> 00:03:02.400]   que não termina
[00:03:02.400 --> 00:03:03.140]   e que não tem hora
[00:03:03.140 --> 00:03:03.600]   para acabar.
[00:03:03.600 --> 00:03:05.460]   Tudo parece
[00:03:05.460 --> 00:03:06.640]   viscoso,
[00:03:06.640 --> 00:03:08.420]   como um pântano,
[00:03:08.420 --> 00:03:10.280]   sem vida e sem alma.
[00:03:11.280 --> 00:03:14.600]   e a felicidade parece inalcançável,
[00:03:14.600 --> 00:03:16.060]   inatingível.
[00:03:16.060 --> 00:03:18.520]   Procura ela por ali,
[00:03:18.520 --> 00:03:20.480]   Salomão procura ela por lá,
[00:03:20.480 --> 00:03:22.020]   mas ninguém pode achá-la.
[00:03:22.020 --> 00:03:26.300]   Mas não fiquemos demasiadamente preocupados,
[00:03:26.300 --> 00:03:28.760]   nem completamente tristes,
[00:03:28.760 --> 00:03:29.760]   nem desanimados,
[00:03:29.760 --> 00:03:32.840]   pois o eclipse vai passar
[00:03:32.840 --> 00:03:35.220]   e dará lugar a um sol
[00:03:35.220 --> 00:03:35.940]   e dará lugar a um sol
[00:03:35.940 --> 00:03:37.780]   de maior beleza
[00:03:37.780 --> 00:03:39.280]   e fulgor
[00:03:39.280 --> 00:03:41.220]   e grandeza
[00:03:41.220 --> 00:03:42.660]   e exuberância
[00:03:42.660 --> 00:03:44.800]   e magnificência.
[00:03:44.800 --> 00:03:46.640]   Este sol
[00:03:46.640 --> 00:03:49.220]   é o sol que está acima do sol,
[00:03:49.220 --> 00:03:51.620]   é o sol da justiça,
[00:03:53.000 --> 00:03:53.640]   é Deus
[00:03:53.640 --> 00:03:55.800]   que traz significado
[00:03:55.800 --> 00:03:57.260]   para a nossa vida,
[00:03:57.260 --> 00:03:59.160]   que é tão passageira,
[00:03:59.160 --> 00:04:01.280]   que é tão efêmera,
[00:04:01.280 --> 00:04:03.720]   que passa como um vapor.
[00:04:03.720 --> 00:04:05.480]   É Deus
[00:04:05.480 --> 00:04:07.300]   que traz propósito
[00:04:07.300 --> 00:04:09.420]   para a nossa existência,
[00:04:09.420 --> 00:04:10.520]   mesmo que diminuta,
[00:04:10.520 --> 00:04:12.680]   mesmo que frágil
[00:04:12.680 --> 00:04:14.040]   e limitada.
[00:04:14.040 --> 00:04:16.420]   Essa nova perspectiva
[00:04:16.420 --> 00:04:17.260]   pode ser encontrada
[00:04:17.260 --> 00:04:18.460]   a partir do versículo
[00:04:18.460 --> 00:04:19.420]   de número 24
[00:04:19.420 --> 00:04:21.000]   do segundo capítulo,
[00:04:22.100 --> 00:04:23.400]   onde Salomão nos mostra
