[00:00:00.000 --> 00:00:00.360]   Música
[00:00:00.360 --> 00:00:11.020]   Iniciar a nossa aula de escola musical
[00:00:11.020 --> 00:00:16.980]   Hoje continuamos com o estudo sobre os Dez Mandamentos
[00:00:16.980 --> 00:00:25.480]   Que nós iniciamos, a certa medida, oficialmente semana passada
[00:00:25.480 --> 00:00:31.460]   Mas que o presbítero César já deu duas aulas sobre o assunto que ele está agajando
[00:00:31.460 --> 00:00:38.020]   Hoje nós vamos ver o primeiro mandamento
[00:00:38.020 --> 00:00:42.360]   César, quando deu a aula sobre o primeiro mandamento
[00:00:42.360 --> 00:00:46.380]   Pelo que eu vi, ele trabalhou bem na questão prática
[00:00:46.380 --> 00:00:51.440]   Até nos ampliar o Catecismo, que fala sobre como devemos obedecer
[00:00:51.440 --> 00:00:53.600]   Em que o mandamento nos proíbe
[00:00:53.600 --> 00:00:59.140]   Porque eu quero hoje ver o mandamento com uma perspectiva mais geral
[00:00:59.140 --> 00:01:02.020]   E ver o mandamento com os nossos cidadores
[00:01:02.020 --> 00:01:05.560]   E vamos, portanto, começar com o mar do coração
[00:01:05.560 --> 00:01:09.900]   Senhor nosso Deus, Pai querido, mais uma vez
[00:01:09.900 --> 00:01:11.540]   Em Tua presença
[00:01:11.540 --> 00:01:16.860]   Queremos pedir a Tua graça sobre este momento em que vamos meditar na Tua Palavra
[00:01:16.860 --> 00:01:22.320]   Em especial neste primeiro mandamento que o Senhor deu ao Seu povo
[00:01:22.320 --> 00:01:25.860]   E que dá a nós também, que somos o Seu povo hoje
[00:01:25.860 --> 00:01:31.440]   Pedimos que o Senhor nos dê a graça de não só conhecermos com profundidade
[00:01:31.440 --> 00:01:34.480]   Este mandamento e as suas implicações
[00:01:34.480 --> 00:01:37.780]   Mas também nos dê a graça de obedecê-lo a Deus
[00:01:37.780 --> 00:01:41.820]   Pois é, para isso que o Senhor nos deu os mandamentos
[00:01:41.820 --> 00:01:44.400]   Nós oramos assim, em nome de Jesus
[00:01:44.400 --> 00:01:45.400]   Amém
[00:01:45.400 --> 00:01:45.820]   Amém
[00:01:45.820 --> 00:01:50.020]   Antes, irmãos, de entrarmos no mandamento
[00:01:50.020 --> 00:01:51.140]   Eu queria rapidamente
[00:01:51.140 --> 00:01:52.540]   Até
[00:01:52.540 --> 00:01:54.540]   Tender visto o que nós vimos
[00:01:54.540 --> 00:01:55.820]   O que nós vimos da aula passada
[00:01:55.820 --> 00:01:56.680]   Nas perguntas
[00:01:56.680 --> 00:01:59.020]   Resumir
[00:01:59.020 --> 00:02:01.640]   Algo que nós já falamos
[00:02:01.640 --> 00:02:05.100]   Mas que é importante o que o mandamento
[00:02:05.100 --> 00:02:08.480]   É aquela distinção que nós começamos a fazer
[00:02:08.480 --> 00:02:12.640]   Entre lei e graça
[00:02:12.640 --> 00:02:14.700]   Você lembra que nós começamos a falar sobre isso
[00:02:14.700 --> 00:02:16.700]   Lei graçou
[00:02:16.700 --> 00:02:18.720]   Um termo que teve uma pergunta
[00:02:18.720 --> 00:02:19.860]   Que eu não soube responder
[00:02:19.860 --> 00:02:20.840]   Até agora não sei
[00:02:20.840 --> 00:02:23.320]   Mas sobre quando
[00:02:23.320 --> 00:02:25.560]   Na história, assim
[00:02:25.560 --> 00:02:27.220]   Alguma literatura
[00:02:27.220 --> 00:02:29.580]   Um defensor começou a fazer essa distinção
[00:02:29.580 --> 00:02:31.440]   Que não sei o antipensamento que fosse a lei
[00:02:31.440 --> 00:02:32.560]   E o novo graça
[00:02:32.560 --> 00:02:34.160]   Escreve a graça lá do antipensamento
[00:02:34.160 --> 00:02:35.360]   Essa mudança bem graça
[00:02:35.360 --> 00:02:37.560]   Eu não sei dizer
[00:02:37.560 --> 00:02:38.640]   Eu não sei
[00:02:38.640 --> 00:02:39.820]   Um livro
[00:02:39.820 --> 00:02:41.140]   Quando isso começou
[00:02:41.140 --> 00:02:43.180]   A gente sabe de alguns motivos
[00:02:43.180 --> 00:02:44.600]   Alguns textos que o pessoal usa
[00:02:44.600 --> 00:02:45.360]   Mas, enfim
[00:02:45.360 --> 00:02:45.640]   Como
[00:02:45.640 --> 00:02:48.740]   Entender melhor essa distinção
[00:02:48.740 --> 00:02:50.280]   Principalmente tendo em vista
[00:02:50.280 --> 00:02:51.000]   As
[00:02:51.000 --> 00:02:53.180]   As
[00:02:53.180 --> 00:02:55.960]   A mudança
[00:02:55.960 --> 00:02:59.820]   As diferenças entre o Antigo Testamento e o Novo Testamento
[00:02:59.820 --> 00:03:02.140]   Entre a Antiga Aliança e a Nova Aliança
[00:03:02.140 --> 00:03:03.640]   Ou seja, qual que é
[00:03:03.640 --> 00:03:05.840]   A distinção entre essas duas coisas
[00:03:05.840 --> 00:03:06.760]   A lei e a graça
[00:03:06.760 --> 00:03:08.840]   Tendem em vista esse contexto Antiga
[00:03:08.840 --> 00:03:10.560]   E Nova Aliança Antiga
[00:03:10.560 --> 00:03:11.960]   E o Dovo Testamento
[00:03:11.960 --> 00:03:12.980]   Então, entender qual a questão
[00:03:12.980 --> 00:03:14.040]   Que nós vamos falar aqui
[00:03:14.040 --> 00:03:15.680]   Primeiro lugar em relação
[00:03:15.680 --> 00:03:17.460]   A essa distinção é o seguinte
[00:03:17.460 --> 00:03:19.360]   Que não é uma distinção
[00:03:19.360 --> 00:03:19.840]   Absoluta
[00:03:19.840 --> 00:03:22.320]   Como se fossem coisas contrárias
[00:03:22.320 --> 00:03:24.060]   Como vimos na semana passada
[00:03:24.060 --> 00:03:26.340]   A lei, ela é graciosa
[00:03:26.340 --> 00:03:28.040]   Deus foi gracioso
[00:03:28.040 --> 00:03:29.800]   Em revelar ao seu povo
[00:03:29.800 --> 00:03:30.300]   A sua lei
[00:03:30.300 --> 00:03:32.080]   A lei reflete também
[00:03:32.080 --> 00:03:33.080]   O caráter da graça
[00:03:33.080 --> 00:03:33.900]   Da vontade
[00:03:33.900 --> 00:03:35.140]   Misericórdia de Deus
[00:03:35.140 --> 00:03:35.760]   Sendo revelada
[00:03:35.760 --> 00:03:37.560]   Até citei o C.S. Lewis
[00:03:37.560 --> 00:03:40.340]   Que fala das boas normas da lei
[00:03:40.340 --> 00:03:41.660]   Por que boas normas?
[00:03:41.660 --> 00:03:44.020]   Boas normas de alguém que andava por caminhos tortuosos
[00:03:44.020 --> 00:03:45.260]   Que agora é o caminho pé
[00:03:45.260 --> 00:03:46.920]   E a vontade de Deus é revelada
[00:03:46.920 --> 00:03:48.120]   Aquilo que Ele quer
[00:03:48.120 --> 00:03:50.100]   Que nós façamos para o nosso bem
[00:03:50.100 --> 00:03:51.980]   Então, a graça é percebida
[00:03:51.980 --> 00:03:53.120]   Sim, na verdade
[00:03:53.120 --> 00:03:55.020]   Agora, em segundo lugar
[00:03:55.020 --> 00:03:56.920]   Quando a Bíblia fala sobre
[00:03:56.920 --> 00:04:00.380]   Essa relação da lei e da graça
[00:04:00.380 --> 00:04:02.280]   Ela vai mostrar uma das coisas
[00:04:02.280 --> 00:04:02.600]   É a seguinte
[00:04:02.600 --> 00:04:03.540]   Que a salvação
[00:04:03.540 --> 00:04:05.900]   Não é mediante o cumprimento
[00:04:05.900 --> 00:04:06.940]   Da lei
[00:04:06.940 --> 00:04:08.180]   Se você ler
[00:04:08.180 --> 00:04:09.600]   A carta que Paulo escreveu
[00:04:09.600 --> 00:04:11.680]   A carta que ele
[00:04:11.680 --> 00:04:12.840]   Trata sobre
[00:04:12.840 --> 00:04:13.640]   Esse assunto
[00:04:13.640 --> 00:04:14.760]   De uma forma mais direta
[00:04:14.760 --> 00:04:16.020]   Lá em Gatas
[00:04:16.020 --> 00:04:16.880]   Capítulo 2
[00:04:16.880 --> 00:04:17.620]   Versículo 16
[00:04:17.620 --> 00:04:18.020]   Por exemplo
[00:04:18.020 --> 00:04:19.580]   Paulo vai afirmar categoricamente
[00:04:19.580 --> 00:04:20.980]   Ninguém é salvo
[00:04:20.980 --> 00:04:22.620]   A graça não oferecida
[00:04:22.620 --> 00:04:24.660]   Para aqueles que cumprem a lei
[00:04:24.660 --> 00:04:26.740]   Ninguém é justificado
[00:04:26.740 --> 00:04:27.880]   Por obras da lei
[00:04:27.880 --> 00:04:28.760]   A salvação não é
[00:04:28.760 --> 00:04:29.880]   Pelo cumprimento da lei
[00:04:29.880 --> 00:04:30.300]   Mas
[00:04:30.300 --> 00:04:31.760]   Pela graça só
[00:04:31.760 --> 00:04:33.100]   Pela fé
