sermon_id,livro,capitulo_inicio,versiculo_inicio,capitulo_fim,versiculo_fim,justificativa
898460020,Colossenses,2,11,2,12,O pregador anuncia a leitura de Colossenses 2:11-12 para explicar a relação entre circuncisão e batismo.
732119686,Gênesis,2,1,2,3,O pregador pede que abram em Gênesis capítulo 2 e lê explicitamente os versículos 1 a 3 como fundamento do quarto mandamento.
1551686110,1 Timóteo,3,,,,"O professor convida a abrir em 1 Timóteo 3 e afirma que seguirá esse texto nas aulas, expondo as qualificações e funções dos presbíteros."
696290741,Deuteronômio,19,1,19,10,"O pregador anuncia Deuteronômio 19:1-10 como o texto sobre as cidades de refúgio, lê seus versículos e começa a expor seus princípios."
696283831,,,,,,"É uma aula sobre o magistrado civil e os princípios das leis do Antigo Testamento, sem anúncio ou exposição de uma passagem bíblica principal; Romanos 13 e outros textos são apenas citados incidentalmente."
676484495,Romanos,13,1,13,7,O pregador anuncia e lê Romanos 13:1-7 como um dos principais textos sobre o magistrado civil.
999724447,1 Pedro,3,14,3,16,"O professor anuncia “1 Pedro, capítulo 3, versículo 14 a 16” e lê esse trecho como base para definir a apologética."
1337445385,,,,,,"A aula trata do tema geral dos sinais, citando diversos textos apenas como exemplos, sem anunciar ou expor uma passagem bíblica principal."
1543816963,Provérbios,22,6,22,6,"O pregador afirma que sempre voltará ao provérbio “ensina a criança no caminho em que deve andar”, desenvolvendo a aula a partir desse texto."
678013749,,,,,,"A aula expõe o capítulo 23 da Confissão de Fé de Westminster sobre o magistrado civil e cita vários textos bíblicos, sem anunciar uma passagem principal única."
681248063,,,,,,"A transcrição apresenta uma exposição teológica sobre as partes da santificação e cita diversos textos, sem anunciar ou desenvolver uma passagem bíblica principal."
910729888,Êxodo,20,16,20,16,"O pregador orienta os ouvintes a abrirem em Êxodo 20:16 e lê: “Não dirás falso testemunho contra o teu próximo”, texto principal do estudo sobre o nono mandamento."
768719251,Salmos,77,,,,"O pregador anuncia que discutirá a meditação cristã através do Salmo 77, pede que a igreja abra nesse salmo e inicia sua exposição comentada do capítulo."
681509552,João,21,25,21,25,O pregador inicia a aula convidando a igreja a abrir a Palavra em João 21:25 e solicita a leitura desse versículo como texto de abertura.
681251273,Gálatas,3,1,3,3,O pregador anuncia e solicita a leitura de Gálatas 3:1–3 como referência principal para explicar o legalismo na santificação.
844353937,1 Timóteo,2,13,2,14,O pregador pede que os irmãos abram 1 Timóteo 2.13-14 e expõe esse texto como fundamento da liderança masculina.
1543328587,Mateus,5,27,5,28,"O pregador manda abrir a Bíblia em Mateus 5:27-28, lê os versículos e os expõe ao explicar o conceito bíblico de adultério."
1540189468,Efésios,5,22,5,30,"O pregador anuncia: “abram as Bíblias... em Efésios, capítulo 5, de 22 a 30” e lê esse trecho para expor os papéis no casamento."
772956310,Deuteronômio,25,13,25,16,O pregador pede que a congregação abra e leia Deuteronômio 25:13-16 ao tratar das fraudes como pecado contra o oitavo mandamento.
681242762,,,,,,"O pregador esclarece que esta é uma palestra temática sobre santificação e que não irá expor um texto bíblico específico, usando Isaías 57:15 e outros textos apenas como fundamentação."
1377637159,,,,,,"O pregador afirma explicitamente que a aula é temática, que não fará a exposição de um texto específico e que percorrerá várias passagens das Escrituras."
1120404124,1 Timóteo,2,11,2,15,"O pregador anuncia a exposição de 1 Timóteo 2 e desenvolve os versículos 11 a 15 sobre a mulher ensinar, exercer autoridade e o papel de Eva."
1855461150,,,,,,"A aula expõe a seção 1 do capítulo 3 da Confissão de Fé de Westminster sobre o eterno decreto de Deus; os textos de Salmo 90, Efésios 1, Mateus 11 e outros são apenas citações de apoio."
924118537,,,,,,"O sermão é um estudo temático sobre culto doméstico, apresentando várias bases bíblicas — como Josué 24, Jó 1, Deuteronômio 6 e outras — sem anunciar uma passagem principal para exposição."
688431466,,,,,,"A aula é uma introdução geral ao primeiro e segundo mandamentos e aos símbolos de fé de Westminster, sem anunciar uma passagem bíblica principal para exposição."
904514971,Êxodo,20,17,,,"O pregador anuncia e lê Êxodo 20:17 como o texto do décimo mandamento, que será exposto."
1867625913,Romanos,11,33,11,36,O pregador convidou a igreja a abrir em Romanos 11:33 e leu em voz alta os versículos 33 a 36 como introdução à aula.
1392258598,João,4,23,4,24,O pregador identifica como texto base a afirmação de Jesus de que os verdadeiros adoradores adorarão o Pai em espírito e em verdade.
1972738531,Gênesis,1,,2,,O pregador pede que a Bíblia fique aberta em Gênesis para ler e expor Gênesis 1 e 2 como fundamento do casamento.
1176319066,,,,,,"A aula trata historicamente da Reforma Protestante e de suas contribuições, sem anunciar, ler ou expor uma passagem bíblica principal."
1467388156,,,,,,"A aula é temática sobre o vinho na ceia e cita Lucas 22 e 1 Coríntios 10:16-17 apenas como apoio, sem anunciar uma passagem principal para exposição."
1120351786,1 Timóteo,3,,3,,"Após a leitura introdutória de Mateus 9:35-38, o pregador direciona a exposição para 1 Timóteo capítulo 3, apresentando a lista de qualificações para bispos, pastores e presbíteros."
1819284144,Romanos,10,9,10,10,"O professor convida a abrir em Romanos 10:9-10, lê os versículos e os usa para introduzir o imperativo de confessar publicamente a fé."
768742057,Mateus,5,21,5,22,"O pregador apresenta Mateus 5:21-22 como um dos textos principais para esclarecer a abrangência espiritual do sexto mandamento, citando-o integralmente."
976436881,Êxodo,20,8,20,11,O pregador anuncia explicitamente que vai expor o quarto mandamento e pede a leitura de Êxodo 20:8-11.
1361305654,Gênesis,2,,,,"O pregador anuncia: “vamos ler Gênesis 2”, pede que acompanhem e lê todo o capítulo para expor como Deus preparou Adão para o casamento."
1895968185,Efésios,4,,4,,"O pregador anuncia “Efésios, capítulo 4” e expõe sucessivamente o capítulo, lendo trechos dos versículos 1–32 sobre a mudança de comportamento e a santificação."
1888103361,Romanos,15,1,15,4,"O pregador expõe Romanos 15:1-4, começando pelos versículos 1 e 2 e destacando o versículo 4: “tudo quanto outrora foi escrito para o nosso ensino”."
768778078,1 Coríntios,12,4,12,11,O pregador convida a igreja a abrir em 1 Coríntios 12:4 e lê e expõe os versículos 4 a 11 sobre os dons espirituais e o serviço na igreja.
1231789234,Colossenses,2,16,2,17,"O professor anuncia Colossenses 2:16 e lê os versículos sobre dias de festa, lua nova e sábados, dizendo que fará a interpretação e exegese desse texto."
1543835521,,,,,,"É uma aula temática sobre a função e a escolha de presbíteros, que usa Deuteronômio 1:13 e Atos 14:23 apenas como textos introdutórios e depois percorre várias passagens."
1561393408,1 Timóteo,3,2,3,7,"O pregador anuncia a continuação da exposição de 1 Timóteo 3 sobre as qualificações dos presbíteros, retomando o versículo 2 e tratando de características como hospitalidade e aptidão para ensinar."
768771580,1 Timóteo,3,8,3,13,O pregador anuncia 1 Timóteo 3 a partir do versículo 8 como o texto que trata direta e detalhadamente das qualidades necessárias aos diáconos.
1199379403,Atos,6,1,6,6,"O pregador anuncia Atos capítulo 6 como o texto clássico sobre a diaconia e lê os versículos 1 a 6, sobre a escolha dos sete para servir às mesas."
1701557700,Gênesis,3,17,3,19,O pregador anuncia Gênesis 3:17 como a passagem sobre as consequências da desobediência e expõe a maldição da criação e a entrada da morte e da enfermidade após a queda.
1231796089,Êxodo,14,15,14,18,O pregador abre a Bíblia em Êxodo e anuncia a leitura de 14:15-18 como um dos dois momentos centrais da reflexão sobre a história da redenção.
745716259,Deuteronômio,21,18,21,18,"Embora o sermão trate do quinto mandamento, o pregador anuncia e lê Deuteronômio 21:18 como o texto que mostra a seriedade de honrar os pais."
1243327906,Mateus,12,1,12,8,"O pregador anuncia e lê em voz alta Mateus 12:1-8, passagem que usa para expor as obras de necessidade no dia do Senhor."
1974908959,,,,,,"A aula anuncia e expõe o capítulo 12 da Confissão de Fé de Westminster, sobre a adoção, usando vários textos bíblicos apenas como referências de apoio."
1519147972,,,,,,"A aula aborda criação e ensino de filhos de forma temática e cita vários textos (como Provérbios 22:15, Salmos 51:5 e Romanos 5:12), sem anunciar ou expor uma passagem principal."
1561411696,1 Reis,3,5,3,9,O pregador anuncia e lê em voz alta 1 Reis 3:5-9 como o texto inicial da aula.
1569679444,Atos,6,1,6,6,"O pregador convida a igreja a abrir em Atos 6, lê os versículos 1 a 6 e expõe a escolha dos sete para o serviço às mesas."
1176318775,Romanos,3,19,3,,"O pregador convida a igreja a abrir Romanos 3 e anuncia a meditação a partir do versículo 19, expondo a justificação pela fé."
1346064853,,,,,,"Trata-se de uma aula doutrinária sobre graça eficaz, com várias passagens citadas e lidas brevemente, mas sem um texto bíblico principal anunciado para exposição."
733999195,Êxodo,20,13,,13,"O pregador anuncia explicitamente: “o sexto mandamento, Êxodo, capítulo 20, versículo 13, não matarás”, e passa a expor esse mandamento."
929476951,Gênesis,17,1,17,14,"O pregador anuncia Gênesis 17, a partir do verso 1, e lê a passagem que institui a circuncisão como sinal da aliança."
772955293,,,,,,"A mensagem é uma exposição temática do sétimo mandamento, sem anunciar ou ler uma passagem principal; Provérbios 5, Malaquias 2 e Gênesis 2 aparecem apenas como textos de apoio."
1888247964,,,,,,"A introdução trata tematicamente do aconselhamento bíblico e cita Gênesis, Salmos e Marcos apenas como exemplos, sem anunciar ou expor uma passagem principal."
1220830990,,,,,,"É uma aula temática de EBD sobre o atributo da onisciência, com várias passagens citadas incidentalmente, sem um texto bíblico principal anunciado para exposição."
745716865,,,,,,"O trecho apresenta uma aula temática sobre as bases bíblicas da educação cristã, mas não anuncia, lê ou expõe uma passagem bíblica principal."
1888473222,Provérbios,20,5,20,5,"O pregador anuncia: “Abra sua Bíblia em Provérbios, capítulo 20” e lê o versículo 5, que passa a nortear a exposição."
1210543666,1 Coríntios,12,4,12,7,O professor afirma que 1 Coríntios 12–14 é um dos principais textos sobre o serviço cristão e lê especificamente 1 Coríntios 12:4-7 para expor os dons espirituais.
1142779882,1 Timóteo,3,1,3,6,"O pregador anuncia que continuará a exposição de 1 Timóteo 3, tratando das qualificações dos presbíteros, especialmente a partir do versículo 3."
1461931729,Levítico,10,8,10,11,O pregador convida a igreja a abrir em Levítico 10 e lê explicitamente os versículos 8 a 11 como texto inicial da aula.
768751630,Atos,6,1,6,6,"O pregador convida a igreja a abrir em Atos 6, lê os versículos 1 a 6 e expõe a escolha dos sete para o serviço aos necessitados."
1585036807,1 Timóteo,3,8,3,13,O pregador anuncia que continuará em 1 Timóteo 3 a partir do versículo 8 para expor a lista de qualificações necessárias aos diáconos.
1310650318,2 Reis,25,8,25,13,O pregador pede que abram em 2 Reis 25 e anuncia a leitura dos versículos 8 a 13 como ponto de partida para a visão geral do livro.
929252041,Gênesis,12,1,12,3,"O pregador convida a abrir Gênesis 12 e lê os primeiros versos, sobre o chamado e a promessa de Deus a Abrão."
1164187987,,,,,,"A aula trata das marcas de uma igreja fiel e da doutrina da igreja na Confissão de Westminster, percorrendo vários textos bíblicos sem anunciar ou expor uma passagem principal."
1120324048,,,,,,"A aula é temática sobre o ministério de presbíteros, bispos e pastores, usando Deuteronômio 1:13 e Atos 14:23 apenas como textos introdutórios e citando várias outras passagens."
1830355353,,,,,,"A aula expõe a Confissão de Fé de Westminster, capítulo 1, sobre as Escrituras e os livros apócrifos, sem anunciar ou ler uma passagem bíblica principal."
1199386144,Mateus,20,25,20,28,"O pregador convida a igreja a abrir Mateus 20:25-28, lê esses versículos e os usa como base para ensinar que o maior deve servir."
1517246116,Atos,2,42,2,47,O professor convida a igreja a abrir em Atos 2 e lê explicitamente os versículos 42 a 47 como base da aula sobre comunhão.
1540200088,Efésios,3,10,3,10,"O professor convida a classe a abrir em Efésios 3:10, lê o versículo e o usa como base para destacar a glória da igreja reunida no culto."
