slug,name,kind,parent_slug,parent_name,description,sermon_count,variants
o-livro-dos-reis,O Livro dos Reis,ebd,,,Estudo dos livros de 1 e 2 Reis e de seus principais acontecimentos.,17,O Livro dos Reis
atributos-de-deus,Atributos de Deus,ebd,,,Estudo dos atributos e das perfeições de Deus.,11,Atribututos de Deus|Atributos de Deus
diaconia,Diaconia,diaconia,,,Curso sobre o ministério e o serviço dos diáconos na igreja.,7,Diaconia
cfw-3-do-eterno-decreto-de-deus,CFW 3 — Do Eterno Decreto de Deus,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo do eterno decreto de Deus conforme a Confissão de Westminster.,5,CFW 3
presbiteros-bispos-e-pastores,"Presbíteros, Bispos e Pastores",ebd,,,"Estudo dos ofícios de presbíteros, bispos e pastores na igreja.",5,"Presbíteros, Bispos e Pastores"
cfw-2-de-deus-e-da-santissima-trindade,CFW 2 — De Deus e da Santíssima Trindade,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo da doutrina de Deus e da Santíssima Trindade.,4,CFW 2
cfw-23-do-magistrado-civil,CFW 23 — Do Magistrado Civil,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo do magistrado civil e de sua relação com a lei de Deus.,4,CFW 23
escolhendo-presbiteros,Escolhendo Presbíteros,ebd,,,Orientações para a escolha de presbíteros na igreja.,4,Escolhendo Presbíteros
i-congresso-peregrinos,I Congresso Peregrinos,congresso,,,"Conferência sobre as partes, a prática e os perigos da santificação.",4,I Congresso Peregrinos
igreja-e-comunhao,Igreja e Comunhão,ebd,,,Estudo sobre a igreja e a comunhão entre os cristãos.,4,Igreja e Comunhão
iv-conferencia-peregrinos,IV Conferência Peregrinos,conferencia,,,Aplicações da cristologia à teologia do culto e à ética cristã.,4,IV Conferência Peregrinos
v-conferencia-peregrinos,V Conferência Peregrinos,conferencia,,,Estudo das alianças bíblicas e de seu cumprimento em Jesus Cristo.,4,V Conferência Peregrinos
vi-conferencia-peregrinos,VI Conferência Peregrinos,conferencia,,,Introdução e orientações práticas sobre o aconselhamento bíblico.,4,VI Conferência Peregrinos
cfw-4-da-criacao,CFW 4 — Da Criação,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo da doutrina bíblica da criação.,3,CFW 4
cfw-8-de-cristo-o-mediador,"CFW 8 — De Cristo, o Mediador",cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo da pessoa e da obra de Cristo como Mediador.,3,CFW 8
escolhendo-diaconos,Escolhendo Diáconos,ebd,,,Orientações para a escolha de diáconos na igreja.,3,Escolhendo Diáconos
ii-conferencia-peregrinos,II Conferência Peregrinos,conferencia,,,Estudo sobre a presença e a atuação da igreja de Cristo no Antigo Testamento.,3,II Conferência Peregrinos
o-dia-do-senhor,O Dia do Senhor,ebd,,,Estudo sobre o significado e a observância do Dia do Senhor.,3,O dia do Senhor
adoracao-biblica,Adoração Bíblica,ebd,,,Estudo dos princípios bíblicos para a adoração cristã.,2,Adoração Bíblica
cfw-1-da-escritura-sagrada,CFW 1 — Da Escritura Sagrada,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo da doutrina da Escritura Sagrada.,2,CFW 1
cfw-5-da-providencia,CFW 5 — Da Providência,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo da providência de Deus sobre toda a criação.,2,CFW 5
cfw-6-da-queda-do-homem-do-pecado-e-do-seu-castigo,"CFW 6 — Da Queda do Homem, do Pecado e do seu Castigo",cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,"Estudo da queda, do pecado humano e de suas consequências.",2,CFW 6
cfw-7-do-pacto-de-deus-com-o-homem,CFW 7 — Do Pacto de Deus com o Homem,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,"Estudo do pacto de Deus com o homem, incluindo o pacto de obras.",2,CFW 7
ensinando-no-caminho-ensinando-na-palavra,"Ensinando no Caminho, Ensinando na Palavra",ebd,,,Reflexões sobre o ensino da fé no caminho da vida e na Palavra.,2,"Ensinando no caminho, ensinando na palavra|Ensinando no caminho, ensinando na Palavra"
iii-conferencia-peregrinos,III Conferência Peregrinos,conferencia,,,"Estudo da lei moral e da vida cristã, com ênfase na piedade e não no legalismo.",2,III Conferência Peregrinos
permanencia-no-casamento,Permanência no Casamento,ebd,,,Reflexões sobre a permanência e a fidelidade no casamento.,2,Permanência no casamento
sobre-o-vinho-na-ceia,Sobre o Vinho na Ceia,ebd,,,Estudo sobre o vinho na Bíblia e seu uso na Ceia do Senhor.,2,Sobre o vinho na ceia
a-confissao-de-fe-de-westminster,A Confissão de Fé de Westminster,cfw,,,Introdução à Confissão de Fé de Westminster.,1,A Confissão de Fé de Westminster
a-enfermidade-na-vida-crista,A Enfermidade na Vida Cristã,ebd,,,Reflexão sobre a enfermidade na experiência da vida cristã.,1,A Enfermidade na Vida Cristã
apologetica,Apologética,ebd,,,Introdução à defesa racional e bíblica da fé cristã.,1,Apologética
as-marcas-de-uma-igreja-fiel,As Marcas de uma Igreja Fiel,ebd,,,Estudo das características que identificam uma igreja fiel.,1,As Marcas de Uma Igreja Fiel
casamento-o-preparo,Casamento: o Preparo,ebd,,,Orientações para o preparo para o casamento.,1,"Casamento, o preparo"
cfw-11-da-justificacao,CFW 11 — Da Justificação,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo da justificação pela fé conforme a Confissão de Westminster.,1,CFW 11
cfw-12-da-adocao,CFW 12 — Da Adoção,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,Estudo da doutrina da adoção dos crentes por Deus.,1,CFW 12
cfw-28-do-batismo,CFW 28 — Do Batismo,cfw,a-confissao-de-fe-de-westminster,Confissão de Fé de Westminster,"Estudo da doutrina do batismo, incluindo o batismo infantil.",1,CFW 28
culto-domestico,Culto Doméstico,ebd,,,Estudo sobre a prática do culto doméstico no lar cristão.,1,Culto doméstico
cultuando-com-toda-a-familia,Cultuando com toda a Família,ebd,,,Reflexão sobre a participação de toda a família na adoração.,1,Cultuando com toda a Família
evangelismo-e-missoes,Evangelismo e Missões,ebd,,,Reflexão sobre evangelismo e missões à luz da armadura de Deus.,1,Evangelismo e Missões
exortacao-a-consolarmos-uns-aos-outros,Exortação a Consolarmos Uns aos Outros,ebd,,,Exortação bíblica à consolação mútua entre os cristãos.,1,Exortação a consolarmos uns aos outros
graca-eficaz,Graça Eficaz,ebd,,,Estudo da doutrina da graça eficaz na salvação.,1,Graça Eficaz
liberdade-de-expressao-de-crenca-religiosa,Liberdade de Expressão de Crença Religiosa,ebd,,,Reflexão sobre a liberdade de expressar a crença religiosa.,1,Liberdade de expressão de crença religiosa
o-decimo-mandamento,O Décimo Mandamento,ebd,,,Estudo do décimo mandamento e de suas implicações para a vida cristã.,1,O décimo mandamento
o-nono-mandamento,O Nono Mandamento,ebd,,,Estudo do nono mandamento e de suas implicações para a vida cristã.,1,O nono mandamento
o-primeiro-casamento,O Primeiro Casamento,ebd,,,Reflexão bíblica sobre o primeiro casamento.,1,O primeiro casamento
reforma-protestante-e-suas-contribuicoes,Reforma Protestante e suas Contribuições,ebd,,,Reflexão sobre a Reforma Protestante e suas contribuições.,1,Reforma Protestante e Suas Contribuições
sinais,Sinais,ebd,,,Estudo sobre sinais conforme o tema apresentado no sermão.,1,Sinais
sola-fide,Sola Fide,ebd,,,Estudo do princípio da justificação somente pela fé.,1,Sola Fide
sola-scriptura,Sola Scriptura,ebd,,,Estudo do princípio da autoridade suprema das Escrituras.,1,Sola Scriptura
