sermon_id,topico_slug,confianca
876988777,perdao-e-reconciliacao,1
876988777,oracao,0.9
876988777,expiacao-e-redencao,0.6
732127057,encarnacao-e-reino-de-cristo,1
732127057,ressurreicao-e-consumacao,0.8
732119686,culto-publico,1
732119686,confissoes-e-reforma,0.6
898460020,batismo,1
898460020,aliancas-biblicas,0.9
696290741,magistrado-civil,1
696290741,justica-e-leis,0.9
873047122,oracao,1
873047122,cuidado-de-deus,0.9
873047122,dinheiro-e-contentamento,0.8
696283831,magistrado-civil,1
696283831,justica-e-leis,0.9
696283831,confissoes-e-reforma,0.5
1551686110,presbiteros-e-pastores,1
676484495,magistrado-civil,1
676484495,providencia-de-deus,0.5
676484495,justica-e-leis,0.5
1789208650,natureza-e-missao-da-igreja,1
1789208650,governo-e-disciplina-eclesiastica,0.5
1789208650,santificacao,0.5
1519139869,comunhao-e-unidade,1
1519139869,natureza-e-missao-da-igreja,0.9
1519139869,evangelismo-e-missoes,0.6
1519139869,cristo-o-mediador,0.5
1410043093,cristo-o-mediador,1
1410043093,expiacao-e-redencao,0.8
1410043093,providencia-de-deus,0.7
678013749,magistrado-civil,1
678013749,providencia-de-deus,0.7
1543816963,criacao-de-filhos,1
1543816963,educacao-crista,0.8
999724447,apologetica,1
999724447,evangelismo-e-missoes,0.5
1440322891,atributos-de-deus,1
1440322891,espirito-santo-e-selamento,0.7
1440322891,adocao-e-heranca,0.6
910729888,verdade-e-integridade,1
1337445385,autoridade-das-escrituras,0.9
1337445385,culto-publico,0.5
681248063,santificacao,1
681248063,tribulacao-e-perseveranca,0.6
681248063,batalha-espiritual,0.5
713940766,justificacao-pela-fe,0.86
713940766,oracao,0.7
713940766,santificacao,0.65
768719251,emocoes-e-sentimentos,1
768719251,jejum-e-disciplinas-espirituais,0.7
696289836,providencia-de-deus,1
696289836,ansiedade-e-medo,0.8
696289836,atributos-de-deus,0.6
1674363231,evangelismo-e-missoes,1
1674363231,graca-eficaz-e-chamado,0.9
1674363231,providencia-de-deus,0.8
1674363231,comunhao-e-unidade,0.7
1711220856,santificacao,1
1711220856,providencia-de-deus,0.6
844353937,marido-e-esposa,1
844353937,criacao-de-filhos,0.5
844353937,culto-domestico,0.5
681251273,santificacao,1
681509552,santificacao,1
1718565339,ressurreicao-e-consumacao,0.95
1718565339,justificacao-pela-fe,0.78
1718565339,santificacao,0.68
1543328587,divorcio-e-permanencia,1
1543328587,casamento-cristao,0.8
1543328587,pureza-e-fidelidade-sexual,0.7
1543328587,governo-e-disciplina-eclesiastica,0.6
696314167,atributos-de-deus,1
696314167,evangelismo-e-missoes,0.9
696314167,graca-eficaz-e-chamado,0.8
696314167,autoridade-das-escrituras,0.6
