name,wav,transcribed,processed,description,audio,txt,artist,duration_str,id,view_count,duration,timestamp,sc_suffix_url,sp_suffix_url,date,words,sentences,sent_ratio,words_min,sentences_min,score
17-09-2021 - A Lei Moral e a Vida Cristã - Piedade e Não Legalismo (1),True,True,True,III Conferência Peregrinos - A Lei Moral e a Vida Cristã - Piedade e Não Legalismo por Pastor Alan Kleber,17-09-2021 - A Lei Moral e a Vida Cristã - Piedade e Não Legalismo (1) [1170140155].opus,17-09-2021 - A Lei Moral e a Vida Cristã - Piedade e Não Legalismo (1).txt,Pastor Alan Kleber,1:02:39,1170140155,58,3759.229,1638398114,17-09-2021-a-lei-moral-e-a-vida-crista-piedade-e-nao-legalismo-1,1PR7EQBy9nxeCjlQlqxMS5,2021-09-17,6412,411,1.059278350515464,102.34013410728636,6.55985575765669,17.3
"05-05-2024 - 1 Timóteo 1.12-15 - Ser como Paulo, o pior",True,True,True,1 Timóteo 1.12-15 por Presbítero Lucas Gibram,"05-05-2024 - 1 Timóteo 1.12-15 - Ser como Paulo, o pior [1820303268].opus","05-05-2024 - 1 Timóteo 1.12-15 - Ser como Paulo, o pior.txt",Presbítero Lucas Gibram,58:20,1820303268,30,3500.356,1715541315,05-05-2024-1-timoteo-112-15,5UixghxuIyzo5xh7FdvA5o,2024-05-05,8179,544,1.060428849902534,140.19716851657375,9.324765823819062,17.6
28-04-2024 - Efésios 6.1-3 - Filhos,True,True,True,Efésios 6.1-3 por Pastor Bruno Melo,28-04-2024 - Efésios 6.1-3 - Filhos [1810001823].opus,28-04-2024 - Efésios 6.1-3 - Filhos.txt,Reverendo Bruno Melo,47:20,1810001823,44,2840.738,1714352580,28-04-2024-efesios-61-3-filhos,3hYS4zZgngHyjhHg8F7aHs,2024-04-28,6373,471,1.0172786177105833,134.60586650370433,9.948119115525614,19.9
28-04-2024 - EBD - Atos 27 - 28,True,True,True,Atos 27 - 28 por Presbítero Humberto Elias,28-04-2024 - EBD - Atos 27 - 28 [1809812202].opus,28-04-2024 - EBD - Atos 27 - 28.txt,Presbítero Humberto Elias,1:01:01,1809812202,29,3661.427,1714326853,28-04-2024-ebd-atos-27-28,0nb4NxU7ZAz95cjikUBlLU,2024-04-28,8428,563,1.0582706766917294,138.11008658645932,9.225911099688728,24.2
17-03-2024 - Efésios 5.22-33 - O casamento diante da Cruz,True,True,True,Efésios 5.22-33 por Pastor Bruno Melo,17-03-2024 - Efésios 5.22-33 - O casamento diante da Cruz [1782876261].opus,17-03-2024 - Efésios 5.22-33 - O casamento diante da Cruz [1782876261].txt,Reverendo Bruno Melo,48:25,1782876261,55,2905.051,1711239516,17-03-2024-efesios-522-33-o-casamento-diante-da-cruz,5uelMyL9JpMVzHCmBHcg7n,2024-03-17,5010,333,1.0673076923076923,103.47494759988723,6.877676157836817,26.8
03-05-2020 - Mateus 5.17-20,True,True,True,,03-05-2020 - Mateus 5.17-20 [840092458].opus,03-05-2020 - Mateus 5.17-20.txt,Reverendo Bruno Melo,45:49,840092458,73,2749.127,1592156794,03-05-2020-mateus-517-20,1DQ4xjqmhlR9QluzAmi2pH,2020-05-03,5880,404,1.0687830687830688,128.33164855606887,8.817344560655073,26.9
28-06-2020 - Mateus 6.1-4,True,True,True,,28-06-2020 - Mateus 6.1-4 [856670638].opus,28-06-2020 - Mateus 6.1-4 [856670638].txt,Reverendo Bruno Melo,44:10,856670638,72,2650.749,1594569117,28-06-2020-mateus-61-4,30vqSxith23D2kgm0f0gQb,2020-06-28,1006,97,1.0898876404494382,22.770922482664332,2.1956058457439767,28.5
13-11-2020 - Igreja de Cristo no Antigo Testamento (1),True,True,True,II Conferência Peregrinos - Primeira palestra sobre a Igreja de Cristo no Antigo Testamento por Reverendo Paulo Brasil,13-11-2020 - Igreja de Cristo no Antigo Testamento (1) [929287963].opus,13-11-2020 - Igreja de Cristo no Antigo Testamento (1).txt,Reverendo Paulo Brasil,48:45,929287963,77,2925.061,1605379028,13-11-2020-igreja-de-cristo-no-antigo-testamento-1,6Zn80d5plyeLtgT8sCdyou,2020-11-13,5357,382,1.0465753424657533,109.88488787071448,7.835734024008388,30.9
O Primeiro Mandamento,True,True,True,,O Primeiro Mandamento [713938015].opus,O Primeiro Mandamento.txt,Reverendo Bruno Melo,58:30,713938015,94,3510.831,1573951760,o-primeiro-mandamento,5hDavifsOIrEuhIaJPL0KE,,8735,758,1.0229419703103915,149.28089674495865,12.954198023203052,47.6
08-12-2019 - O Quarto Mandamento (1),True,True,True,,08-12-2019 - O Quarto Mandamento (1) [732119686].opus,08-12-2019 - O Quarto Mandamento (1).txt,Reverendo Bruno Melo,1:05:03,732119686,87,3903.19,1576977555,08-12-2019-o-quarto-mandamento-1,5lwnQ4vCT4EOz7yWUmULCU,2019-12-08,10003,786,1.0207792207792208,153.76653455250704,12.082424888360546,55.4
"16-08-2020 - Mateus 6.12,14 e15",True,True,True,,"16-08-2020 - Mateus 6.12,14 e15 [876988777].opus","16-08-2020 - Mateus 6.12,14 e15.txt",Reverendo Bruno Melo,42:22,876988777,74,2542.655,1597621489,16-08-2020-mateus-61214-e15,5XVMddxAfjL0xZ1CZQsP6k,2020-08-16,6039,382,1.0186666666666666,142.50458674102464,9.014199724303927,59.1
30/06/2019 - Aula 78 - CFW 28 - Batismo infantil,True,True,True,,30⧸06⧸2019 - Aula 78 - CFW 28 - Batismo infantil [898460020].opus,30-06-2019 - Aula 78 - CFW 28 - Batismo infantil.txt,,57:31,898460020,97,3451.089,1600899880,30062019-aula-78-cfw-28-batismo-infantil,1cLwIsN0C5J5cfrprbs1v3,2019-06-30,8881,726,1.0168067226890756,154.40343613276852,12.62210276234545,60.8
08-12-2019 - Isaías 11,True,True,True,,08-12-2019 - Isaías 11 [732127057].opus,08-12-2019 - Isaías 11.txt,Reverendo Bruno Melo,39:21,732127057,85,2361.574,1576978975,08-12-2019-isaias-11,6Wgb8fV3fKbZImBMijIgKo,2019-12-08,5668,400,1.0126582278481013,144.00565046871282,10.162713512259197,61.4
09-08-2020 - Mateus 6.11,True,True,True,,09-08-2020 - Mateus 6.11 [873047122].opus,09-08-2020 - Mateus 6.11.txt,Reverendo Bruno Melo,44:28,873047122,71,2668.852,1597011931,09-08-2020-mateus-611,0T2T3R7aRScOSOOQC0X2Ad,2020-08-09,6659,376,1.0358126721763086,149.70481690254837,8.453072706916682,61.5
06-10-2019 - Aula 90 - CFW 23 - Magistrado civil - Os princípio das leis do Antigo Testamento (2),True,True,True,,06-10-2019 - Aula 90 - CFW 23 - Magistrado civil - Os princípio das leis do Antigo Testamento (2) [696290741].opus,06-10-2019 - Aula 90 - CFW 23 - Magistrado civil - Os princípio das leis do Antigo Testamento (2).txt,Reverendo Bruno Melo,1:04:11,696290741,64,3851.05,1571167244,06-10-2019-aula-90-cfw-23-magistrado-civil-os-principio-das-leis-do-antigo-testamento-2,7I9OggZY02pM2xhGln3iiU,2019-10-06,9640,831,1.0271940667490729,150.19280455979538,12.947118318380701,62.0
